Date,Rainfall_mm
2019-01-01,0.0
2019-01-02,0.0
2019-01-03,0.0
2019-01-04,0.0
2019-01-05,0.0
2019-01-06,0.0
2019-01-07,0.0
2019-01-08,0.0
2019-01-09,0.0
2019-01-10,0.0
2019-01-11,0.0
2019-01-12,0.0
2019-01-13,0.0
2019-01-14,0.0
2019-01-15,0.0
2019-01-16,0.0
2019-01-17,0.0
2019-01-18,0.0
2019-01-19,0.0
2019-01-20,0.0
2019-01-21,0.0
2019-01-22,0.0
2019-01-23,0.0
2019-01-24,0.0
2019-01-25,0.0028694198075411978
2019-01-26,0.21231157284068025
2019-01-27,0.8810345221013911
2019-01-28,1.6275716265798479
2019-01-29,1.7012090888414262
2019-01-30,0.0
2019-01-31,0.0
2019-02-01,0.0
2019-02-02,0.0
2019-02-03,0.0
2019-02-04,0.0
2019-02-05,0.0
2019-02-06,0.0
2019-02-07,0.057855525067534996
2019-02-08,0.14225554104516472
2019-02-09,0.0
2019-02-10,0.7932847826674149
2019-02-11,0.9416504173769035
2019-02-12,0.003339624167352483
2019-02-13,0.0
2019-02-14,0.0
2019-02-15,0.0
2019-02-16,0.09202871698400249
2019-02-17,0.0
2019-02-18,0.026222008293953495
2019-02-19,0.006964461958926657
2019-02-20,0.0
2019-02-21,0.0
2019-02-22,0.0
2019-02-23,0.0
2019-02-24,0.0
2019-02-25,0.0
2019-02-26,0.0
2019-02-27,0.0
2019-02-28,0.029147375159073566
2019-03-01,0.018429634444739506
2019-03-02,0.2318283019290454
2019-03-03,0.07109002175106519
2019-03-04,0.0
2019-03-05,0.025781399462426056
2019-03-06,0.0
2019-03-07,0.0021194459303565645
2019-03-08,0.0
2019-03-09,0.16844863244804784
2019-03-10,0.035581211748438465
2019-03-11,0.03516840660755617
2019-03-12,0.0653620861146761
2019-03-13,0.0
2019-03-14,0.0
2019-03-15,0.0
2019-03-16,0.0
2019-03-17,0.0
2019-03-18,0.0
2019-03-19,0.0
2019-03-20,0.007959568738073542
2019-03-21,0.07389017944966537
2019-03-22,0.008183274688064188
2019-03-23,0.0
2019-03-24,0.004103684069021889
2019-03-25,0.09985039160465417
2019-03-26,0.6713977386986
2019-03-27,0.001703877163969952
2019-03-28,0.0582748225795618
2019-03-29,0.052391984351519226
2019-03-30,0.366916729596214
2019-03-31,0.8197548133523568
2019-04-01,0.6283776471256346
2019-04-02,0.11329007777722849
2019-04-03,0.3979583934651337
2019-04-04,0.0029286574572324753
2019-04-05,1.2010647072794214
2019-04-06,0.5169917358544426
2019-04-07,0.30782456310007017
2019-04-08,0.18942193851630756
2019-04-09,0.8517567198993503
2019-04-10,0.6843389558295409
2019-04-11,0.7455042360782407
2019-04-12,0.9367479528502926
2019-04-13,0.3235534160006521
2019-04-14,0.7820561511334085
2019-04-15,0.22121926083944846
2019-04-16,0.6821289980325146
2019-04-17,0.059465764697803104
2019-04-18,0.7844276645261309
2019-04-19,1.9764275088555354
2019-04-20,0.8739322830207538
2019-04-21,2.435781447621791
2019-04-22,0.1837810222464411
2019-04-23,2.2716526535434136
2019-04-24,0.7774604992752058
2019-04-25,0.033232432992562004
2019-04-26,0.025748677011849224
2019-04-27,0.011007887594725775
2019-04-28,0.6905856017779181
2019-04-29,0.4520161966185855
2019-04-30,2.4909642503961273
2019-05-01,3.600139551661045
2019-05-02,0.16101707256250625
2019-05-03,0.0
2019-05-04,0.0
2019-05-05,0.05914477555864099
2019-05-06,0.4186272005132143
2019-05-07,0.5832925719222513
2019-05-08,1.1218663114190535
2019-05-09,0.7021257533300398
2019-05-10,0.34136873889930436
2019-05-11,0.1474956840114749
2019-05-12,1.0114675700745506
2019-05-13,0.8335967411867519
2019-05-14,0.9101288825597452
2019-05-15,0.4976969482512146
2019-05-16,1.005261987960641
2019-05-17,0.350562433131795
2019-05-18,1.235014894032392
2019-05-19,0.2570236645827907
2019-05-20,1.2654174124633057
2019-05-21,0.6485398653624714
2019-05-22,2.659562314361118
2019-05-23,0.6733920886923653
2019-05-24,3.381244468840136
2019-05-25,2.5014426034294823
2019-05-26,1.4251335367992304
2019-05-27,2.5307201576567646
2019-05-28,0.08033330970700236
2019-05-29,2.43499088578898
2019-05-30,1.5082170123207397
2019-05-31,1.6415645387293636
2019-06-01,3.2344998824342652
2019-06-02,0.2528062262639835
2019-06-03,8.245552802269442
2019-06-04,3.106672470579329
2019-06-05,1.4823996810431497
2019-06-06,5.466454023724773
2019-06-07,3.329560527065094
2019-06-08,4.411237240094097
2019-06-09,0.8258716966416957
2019-06-10,4.845400485291106
2019-06-11,2.825726016856514
2019-06-12,4.008051379637766
2019-06-13,8.494401970473321
2019-06-14,9.131100365581611
2019-06-15,4.351496275298405
2019-06-16,1.2990073708655394
2019-06-17,0.581467556024807
2019-06-18,0.9383115515895728
2019-06-19,4.538853928136329
2019-06-20,8.060959867525684
2019-06-21,3.210200444336279
2019-06-22,9.307703875990558
2019-06-23,7.073801312987031
2019-06-24,11.694385042535545
2019-06-25,5.865157621035325
2019-06-26,5.111368027380735
2019-06-27,6.671601190987596
2019-06-28,10.244626801366499
2019-06-29,13.5674078407009
2019-06-30,17.495957795355093
2019-07-01,10.488012420135023
2019-07-02,9.352005503153887
2019-07-03,6.8890055312599605
2019-07-04,5.921805546632496
2019-07-05,9.895098598592956
2019-07-06,12.331147850437116
2019-07-07,11.033155922575489
2019-07-08,10.14287074919844
2019-07-09,10.790107144164326
2019-07-10,13.809158751876026
2019-07-11,15.80106803195794
2019-07-12,12.129066411540776
2019-07-13,5.573379745531449
2019-07-14,5.376084139935024
