Date,Rainfall_mm
2020-01-01,0.04448816664786874
2020-01-02,0.15736494696550613
2020-01-03,0.7397595730245762
2020-01-04,0.10562205216105001
2020-01-05,0.0
2020-01-06,0.018339194411384888
2020-01-07,0.0020917715045852938
2020-01-08,0.009514023293403612
2020-01-09,0.0
2020-01-10,0.0
2020-01-11,0.0
2020-01-12,0.0
2020-01-13,0.0
2020-01-14,0.0
2020-01-15,0.0
2020-01-16,0.0
2020-01-17,0.0
2020-01-18,0.0
2020-01-19,0.04387427336009948
2020-01-20,0.0004803007063658341
2020-01-21,0.0
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,0.0
2020-02-01,0.0
2020-02-02,0.0016060012622156005
2020-02-03,0.011035536942274674
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,0.0028948947058423705
2020-02-09,0.47502366933917656
2020-02-10,0.008267073959544085
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.056114896430053574
2020-02-28,0.002776378360779389
2020-02-29,0.07180749770739804
2020-03-01,0.29643538757564797
2020-03-02,1.2013656057255424
2020-03-03,0.29416161905164306
2020-03-04,0.10228390472036773
2020-03-05,0.03878636668989624
2020-03-06,0.05585451665725829
2020-03-07,0.4704738358926514
2020-03-08,0.24140898035704225
2020-03-09,1.0241674583918159
2020-03-10,0.06541340576781743
2020-03-11,0.03565732292507006
2020-03-12,0.07212720834312664
2020-03-13,0.16546499054285063
2020-03-14,0.012612695198344149
2020-03-15,0.01012315136798914
2020-03-16,0.0
2020-03-17,0.01366153505185376
2020-03-18,0.13190033736274295
2020-03-19,0.7748715595841624
2020-03-20,0.17539466423508915
2020-03-21,0.45254232094663643
2020-03-22,0.134572459857209
2020-03-23,0.027034806492535965
2020-03-24,0.3849436648837898
2020-03-25,1.240033272680813
2020-03-26,0.9564585844189792
2020-03-27,0.0
2020-03-28,0.02063202512437019
2020-03-29,0.047533130070761494
2020-03-30,0.020698807269766712
2020-03-31,0.07647997076096742
2020-04-01,0.03805760047196046
2020-04-02,0.0
2020-04-03,0.11042587073060914
2020-04-04,0.23255698847166006
2020-04-05,0.08688452528060778
2020-04-06,2.8676551661953544
2020-04-07,2.942597217925325
2020-04-08,4.996662032426052
2020-04-09,1.2842793032877904
2020-04-10,1.492086843870904
2020-04-11,0.7758602074792852
2020-04-12,0.1241682715498019
2020-04-13,0.14038888981862777
2020-04-14,0.2901292349603297
2020-04-15,0.04181967910541141
2020-04-16,0.25339728890769725
2020-04-17,0.6136683522980066
2020-04-18,0.5458713802171574
2020-04-19,3.7875993667791286
2020-04-20,0.6537211732398989
2020-04-21,1.67213838201934
2020-04-22,0.8425327355339043
2020-04-23,0.7752697822921302
2020-04-24,2.0640280277778706
2020-04-25,0.7893243931449841
2020-04-26,1.0771169019997984
2020-04-27,1.351263452577742
2020-04-28,0.2537813014013396
2020-04-29,5.956626782112795
2020-04-30,2.028451146773886
2020-05-01,1.8851976098519736
2020-05-02,1.9521065741318508
2020-05-03,1.9965873961944296
2020-05-04,1.6722416017420483
2020-05-05,0.5313446615026265
2020-05-06,1.2682628751853886
2020-05-07,1.3887782253972862
2020-05-08,3.66823458686417
2020-05-09,0.7590709511136663
2020-05-10,1.17564090874478
2020-05-11,3.039205874491861
2020-05-12,2.393696267468234
2020-05-13,0.42802812730002665
2020-05-14,1.793553705205736
2020-05-15,4.029712345046193
2020-05-16,3.1136255197469955
2020-05-17,1.9814951880632534
2020-05-18,8.795914525854522
2020-05-19,1.5032274093532907
2020-05-20,1.7372427126122774
2020-05-21,0.08745582405801701
2020-05-22,0.4306550943495139
2020-05-23,0.8964471343796754
2020-05-24,0.3534833697089251
2020-05-25,0.9812568053333224
2020-05-26,2.2256127934956895
2020-05-27,1.0592846128873634
2020-05-28,1.4752916180920126
2020-05-29,2.139784366580779
2020-05-30,5.478377250968006
2020-05-31,2.231206289290086
2020-06-01,10.432473086185105
2020-06-02,13.670672529930437
2020-06-03,11.586775486856915
2020-06-04,13.36598068162583
2020-06-05,5.489966558009062
2020-06-06,2.5804423492644792
2020-06-07,4.969683078725053
2020-06-08,2.673695228373011
2020-06-09,1.3109336125030033
2020-06-10,1.533153385274868
2020-06-11,16.0641949813597
2020-06-12,11.29045515426475
2020-06-13,9.299948737902593
2020-06-14,8.376963466945766
2020-06-15,7.352045889876351
2020-06-16,10.266050818308756
2020-06-17,18.68953313457145
2020-06-18,15.284067124830209
2020-06-19,10.685215156187938
2020-06-20,4.943200341965733
2020-06-21,2.2695003657642268
2020-06-22,6.797524311215334
2020-06-23,4.417265638641581
2020-06-24,2.9174219375827173
2020-06-25,4.559527426391192
2020-06-26,13.51252213417404
2020-06-27,3.2493218502461696
2020-06-28,8.815733026429687
2020-06-29,9.132288055372952
2020-06-30,16.18692849164802
2020-07-01,6.0282311663571475
2020-07-02,7.40467276793999
2020-07-03,18.285901725265212
2020-07-04,13.569023765137661
2020-07-05,14.495268752029085
2020-07-06,6.378542198313643
2020-07-07,7.619481626506625
2020-07-08,17.08813434720471
2020-07-09,18.934444335370284
